Variable_Y,Tipo_Y,Variable_X,Tipo_X,Beta_OLS,p_OLS,Beta_Mixed,p_Mixed,ICC,n
Persistencia Dengue,SALUD,UAI General,Gobernanza,0.32694123043421497,1.561688388852708e-17,0.30697427491916485,3.4339172379089004e-22,0.43922436585975727,645
Persistencia Dengue,SALUD,UAI Ambiental,Gobernanza,0.25602875587307233,4.1107869642312407e-11,0.19998716971697506,1.502630492266927e-10,0.4260547783469396,645
Persistencia Dengue,SALUD,UAI Riesgo Clim.,Gobernanza,0.2377796883853186,9.652176408230047e-10,0.212167038283344,1.524831231008e-10,0.43442757720752984,645
Persistencia Dengue,SALUD,Indice Biodiv,Biodiversidad,-0.029637263893138387,0.4524130421645489,-0.04271763480104381,0.4109704541869367,0.43567794741113663,645
Persistencia Dengue,SALUD,Cobertura Forestal,Biodiversidad,-0.053510102879230574,0.17467810256213245,-0.11507218799389778,0.0410898487361345,0.44789293612654885,645
Persistencia Dengue,SALUD,Riqueza Especies,Biodiversidad,-0.029637263893138394,0.45241304216454914,-0.04271763480104379,0.4109704541869369,0.43567794741113686,645
Incidencia Dengue,SALUD,UAI General,Gobernanza,-0.01422764665459317,0.7183575373389184,0.12794934918102208,3.3313900257116336e-05,0.5394365841086591,645
Incidencia Dengue,SALUD,UAI Ambiental,Gobernanza,-0.009082328299418897,0.8179209301840566,0.05500688290224387,0.06120824507266455,0.5210128384597024,645
Incidencia Dengue,SALUD,UAI Riesgo Clim.,Gobernanza,-0.09973282815945307,0.011266973131260781,0.05808751581178975,0.0652704010589239,0.5290534120654029,645
Incidencia Dengue,SALUD,Indice Biodiv,Biodiversidad,-0.35907186043275463,4.620502349249364e-21,-0.15887358111743866,0.0017522414359088733,0.46183455493770614,645
Incidencia Dengue,SALUD,Cobertura Forestal,Biodiversidad,-0.2677678231736114,4.71467396388513e-12,-0.1452995440560475,0.00610360773282448,0.49833375590839385,645
Incidencia Dengue,SALUD,Riqueza Especies,Biodiversidad,-0.35907186043275474,4.620502349249364e-21,-0.15887358111743868,0.0017522414359088733,0.4618345549377059,645
Anos Co-presencia,SALUD,UAI General,Gobernanza,0.5728781706493633,1.5779713190092387e-57,0.4928663097242493,3.4013489957617426e-55,0.28047368773725745,645
Anos Co-presencia,SALUD,UAI Ambiental,Gobernanza,0.3536625155422092,1.9398190153046228e-20,0.2600971337904794,8.601753391221243e-15,0.3200530330433359,645
Anos Co-presencia,SALUD,UAI Riesgo Clim.,Gobernanza,0.41753290194056847,1.3381475991186778e-28,0.30800944676050596,3.3920392981665525e-18,0.29177637476767737,645
Anos Co-presencia,SALUD,Indice Biodiv,Biodiversidad,0.1847360673740086,2.3201816744326996e-06,0.08107264676832518,0.1370332167504024,0.3414764125392077,645
Anos Co-presencia,SALUD,Cobertura Forestal,Biodiversidad,0.22034598611871356,1.5594990978599007e-08,0.07526296519439554,0.2012912146361996,0.3311058894932071,645
Anos Co-presencia,SALUD,Riqueza Especies,Biodiversidad,0.18473606737400863,2.320181674432716e-06,0.08107264676832518,0.13703321675040256,0.34147641253920785,645
Riesgo Inundaciones,CLIMA,UAI General,Gobernanza,0.31249534419273967,4.460270683345358e-16,0.16789284112728584,4.613766565415503e-06,0.35721303864952353,645
Riesgo Inundaciones,CLIMA,UAI Ambiental,Gobernanza,0.1662465049211413,2.2004857443678046e-05,0.06988143956188633,0.042762086447451365,0.3927653699728675,645
Riesgo Inundaciones,CLIMA,UAI Riesgo Clim.,Gobernanza,0.3190575468116629,9.950301268031173e-17,0.16769106046002724,5.429320570104767e-06,0.3584255133213698,645
Riesgo Inundaciones,CLIMA,Indice Biodiv,Biodiversidad,0.22195674906490495,1.217325155924678e-08,0.13487462981621107,0.013659152734942292,0.38344055439756713,645
Riesgo Inundaciones,CLIMA,Cobertura Forestal,Biodiversidad,0.422502969171679,2.5919993543490617e-29,0.27243840019882315,2.6047376984614745e-06,0.2535543242798461,645
Riesgo Inundaciones,CLIMA,Riqueza Especies,Biodiversidad,0.22195674906490495,1.2173251559246959e-08,0.13487462981621107,0.013659152734942292,0.38344055439756697,645
Riesgo Estres Hidrico,CLIMA,UAI General,Gobernanza,0.21353419749306088,4.354005496693596e-08,0.19654727815318157,5.341727034829475e-07,0.11303654942383061,645
Riesgo Estres Hidrico,CLIMA,UAI Ambiental,Gobernanza,0.11652567632491584,0.00303918204763741,0.08905834277010714,0.02171905646240675,0.09500500562750307,645
Riesgo Estres Hidrico,CLIMA,UAI Riesgo Clim.,Gobernanza,0.15206691762907373,0.00010570919890351902,0.1259217260103097,0.0015965576863266283,0.0998156877405789,645
Riesgo Estres Hidrico,CLIMA,Indice Biodiv,Biodiversidad,0.25900505720652517,2.3981938084511487e-11,0.2661687427224801,5.33928531851333e-08,0.11434613605557456,645
Riesgo Estres Hidrico,CLIMA,Cobertura Forestal,Biodiversidad,-0.045279137106591004,0.2508423105586106,-0.05238023660805365,0.3048385127651826,0.14776163948452947,645
Riesgo Estres Hidrico,CLIMA,Riqueza Especies,Biodiversidad,0.2590050572065252,2.3981938084511487e-11,0.26616874272248014,5.339285318513407e-08,0.11434613605557507,645
Deficit Polinizacion,NUTRICION,UAI General,Gobernanza,-0.23025691997146183,3.296011989488858e-09,0.01586858849179949,0.5715583676680117,0.71339267523813,645
Deficit Polinizacion,NUTRICION,UAI Ambiental,Gobernanza,-0.09176941022895112,0.019750527066903476,0.021918783475898866,0.4021553232332695,0.712333275598983,645
Deficit Polinizacion,NUTRICION,UAI Riesgo Clim.,Gobernanza,-0.2584915456700177,2.6331559640307287e-11,-0.013955341519699772,0.621503675213326,0.7078036438944034,645
Deficit Polinizacion,NUTRICION,Indice Biodiv,Biodiversidad,-0.15948729247677096,4.7278384361667626e-05,0.24091966934108072,1.2819765098400992e-07,0.7525694749216477,645
Deficit Polinizacion,NUTRICION,Cobertura Forestal,Biodiversidad,-0.6255214706878567,2.462034527633852e-71,-0.23983660721750852,0.00016375947987856698,0.5852374055198007,645
Deficit Polinizacion,NUTRICION,Riqueza Especies,Biodiversidad,-0.15948729247677104,4.727838436166757e-05,0.24091966934108086,1.2819765098400947e-07,0.752569474921648,645
